matter_category,practice_area,ip_matter_flag,ip_matter_type,ip_tech_domain,draft_complexity_tier,expected_claim_count,has_drawings,expected_oa_count,examiner_difficulty_score,rce_risk_flag,experts_required,num_depositions_expected,early_settlement_probability,fto_patent_count,fto_scope_complexity,gen_complexity,gen_duration_days,phase_pleadings,phase_markman,phase_discovery,phase_summary_judgment,phase_trial,complexity_score,duration_days,client_type,client_industry,client_size_revenue,competitive_position,competitor_avg_quote,complexity_urgency,team_effort,team_size,years_as_client,previous_matters,client_satisfaction,total_hours,estimated_cost,fee_structure,is_subscription_model,is_phase_based_model,has_success_fee_component,target_fee,realized_margin_pct,win_probability,won_matter_flag
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,2,10,0,0,,0,0,0,0,0,0,0,10,540,Existing - Strategic,Life Sciences,45.84,0.74,30947,1,10,4,4,32,1,315.7,82300,Blended Rate,0,0,0,154272,88.6,0.01,0
IP,IP - Prosecution,1,Prosecution,Pharma,,0,0,2,7,0,0,0,0,0,,0,0,0,0,0,0,0,9.5,365,Existing - Strategic,Finance,22.86,-1.06,30646,3,5,5,6,45,4,53.8,12665,Volume-based Discount Model,0,0,0,23189,75.2,0.602,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,560,0,0,0,0,0,6,560,Existing - Strategic,Life Sciences,32.42,-0.87,27793,2,7,4,3,11,6,78.9,17874,Fixed Fee,0,0,0,28174,55.1,0.466,0
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.52,0,,0,0,1,1,1,1,0,10,730,Existing - Strategic,Finance,38.98,0.78,41924,2,4,5,7,29,7,335.4,68295,Success Bonus Structure,0,0,1,117763,76.8,0.083,0
IP,IP - FTO,1,FTO,MedTech,,0,0,0,0,0,0,0,0,5,Narrow,0,0,0,0,0,0,0,5.05,30,New,Tech,25.74,-1.04,13528,9,7,2,6,40,8,83.5,19449,Tiered FTO Pricing,0,0,0,34073,77.4,0.018,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,236,0,0,0,0,0,3,236,New,Life Sciences,216.69,0.32,10939,2,3,6,2,18,10,10,1924,Fixed Fee,0,0,0,4404,137.9,0.973,1
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Simple,14,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.35,30,Existing - Strategic,Finance,49.45,-1.68,11558,1,9,8,7,36,5,45,8756,Subscription (X applications/year),1,0,0,15117,80.7,0.2,0
IP,IP - PTAB,1,PTAB,Semiconductors,,0,0,0,0,0,0,4,0,0,,0,0,0,0,0,0,0,8.8,540,New,Finance,18.7,-0.77,35280,8,6,10,1,2,9,252.5,39687,Fixed Fee – Petition Only,0,0,0,70165,75,0.09,1
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,17,Moderate,0,0,0,0,0,0,0,7.17,30,New,Energy,15.46,-1.18,21317,9,6,8,7,14,8,64.7,15166,Tiered FTO Pricing,0,0,0,25299,55.2,0.364,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,626,0,0,0,0,0,8,626,Existing - Non-Strategic,Other,31.15,-0.3,31511,3,8,11,7,35,7,43.9,11033,Success-Based,0,0,1,19578,78,0.782,1
